Id,Author,mod_title,Genre,Comment
,,Die böse Frau und der Teufel,Maere,
,–,Die Bremse im Blütenhaus,Maere,
,,Die Buhlschaft auf dem Baum,Maere,
367-147,Der Stricker,Die Buße des Sünders,Bispel,
,Der Stricker,Die drei Gott verhassten Dinge,Bispel,
,Niemand,Die drei Mönche zu Kolmar,Maere,
,,Die drei Wäscherinnen,Maere,
367-26,Der Stricker,Die drei Wünsche,Maere,
,–,Die edle Abstammung der Bürger,Maere,
,–,Die Eiche und das Rohr,Maere,
,Der Stricker,Die eingemauerte Frau,Maere,
,,Die Ermordung eines Juden und die Rebhühner,Maere,
,,Die Eule,Fabel,
367-55,Der Stricker,Die Eule und der Habicht,Fabel,
367-133,Der Stricker,Die ewige Verdammnis,Bispel,
367-114,Der Stricker,Die feisten Jagdvögel,Bispel,
367-41,Der Stricker,Die freigebige Königin,Maere,
,,Die Frösche und die Nachtigall,Fabel,
,,Die Füchsin und die Affen,Fabel,
,Johannes Duro,Die fünf Namen,Bispel,
367-166,Der Stricker,Die fünf teuflischen Geister,Bispel,
367-36,Der Stricker,Die Gäuhühner,Fabel,
,Der Regensburger,Die Geburt Christi,Religious,
367-51,Der Stricker,Die geliehenen Kleider,Maere,
,,Die getrennten Minnenden,Minnerede,
,,Die Gevatterinnen,Maere,
,–,Die gezähmte Widerspenstige,Maere,
,,Die goldene Fessel,Maere,
,Konrad von Würzburg,Die goldene Schmiede,Maria,
,–,Die Graserin,Minnerede,
,Hermann von Sachsenheim,Die Grasmetze,Maere,
,Konrad von Würzburg?,Die halbe Birne,Maere,
,–,Die halbe Decke,Maere,
,–,Die halbe Decke B,Maere,
,,Die halbe Decke II,Maere,
,,Die halbe Decke IV,Maere,
,,Die Handwerke,Maere,
,,Die Heiden,Maere,
,–,Die Heidin,Maere,
,–,Die Heidin B,Maere,
,–,Die heiligen Farben,Religious,
,,Die Heimkehr des gefangenen Geliebten,Maere,
,Der Stricker,Die Herren zu Österreich,Maere,
367-167,Der Stricker,Die Heuschrecken,Maere,
,,Die Hundsfliegen,Fabel,
367-151,Der Stricker,Die irdenen Gefässe,Bispel,
,Hadamar von Labert,Die Jagd,Minnerede,
,,Die Jagd der Minne,Minnerede,
,–,Die Jagd des Lebens,Minnerede,
367-33,Der Stricker,Die Katze,Fabel,
